Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,273.500000,276.140015,266.260010,268.070007,268.070007,6309300
2021-09-01,269.010010,273.149994,267.940002,268.250000,268.250000,3942000
2021-09-02,272.369995,274.369995,265.470001,265.940002,265.940002,5215000
2021-09-03,266.540009,270.630005,263.679993,269.739990,269.739990,4901800
2021-09-07,270.079987,270.450012,263.750000,265.829987,265.829987,5672200
2021-09-08,264.760010,265.000000,251.729996,254.720001,254.720001,10481800
2021-09-09,256.000000,258.630005,251.380005,251.539993,251.539993,5606200
2021-09-10,253.009995,254.750000,247.380005,247.899994,247.899994,6497700
2021-09-13,248.740005,248.839996,237.910004,246.679993,246.679993,7879100
2021-09-14,249.100006,253.419998,245.679993,247.050003,247.050003,4940400
2021-09-15,247.729996,248.899994,245.070007,248.800003,248.800003,4092200
2021-09-16,248.800003,255.490005,247.479996,255.089996,255.089996,5795100
2021-09-17,256.059998,257.269989,252.380005,255.789993,255.789993,5564700
2021-09-20,245.330002,251.720001,244.610001,250.229996,250.229996,5861500
2021-09-21,252.820007,254.100006,249.830002,251.300003,251.300003,4658700
2021-09-22,253.000000,261.790009,252.289993,261.070007,261.070007,6271000
2021-09-23,263.489990,268.170013,262.700012,266.720001,266.720001,7837900
2021-09-24,263.989990,264.970001,257.910004,262.500000,262.500000,6958900
2021-09-27,258.100006,259.859985,255.792999,258.109985,258.109985,4683200
2021-09-28,252.509995,252.850006,241.619995,242.699997,242.699997,11052200
2021-09-29,245.520004,246.240005,235.220001,236.039993,236.039993,7323700
2021-09-30,236.690002,243.270004,236.270004,239.839996,239.839996,5464100
2021-10-01,239.440002,242.050003,236.880005,239.289993,239.289993,5934600
2021-10-04,235.610001,236.285004,222.919998,226.250000,226.250000,12376700
2021-10-05,226.910004,239.139999,226.259995,235.979996,235.979996,9928200
2021-10-06,231.970001,241.000000,231.330002,239.119995,239.119995,7079600
2021-10-07,246.089996,251.649994,244.919998,249.160004,249.160004,9170900
2021-10-08,249.300003,251.440002,238.119995,238.490005,238.490005,8468700
2021-10-11,238.490005,240.720001,232.000000,232.330002,232.330002,7632300
2021-10-12,237.750000,240.320007,234.080002,237.410004,237.410004,5800300
2021-10-13,239.300003,243.529999,238.669998,242.729996,242.729996,5422800
2021-10-14,248.115005,251.339996,247.100006,247.410004,247.410004,6747800
2021-10-15,250.000000,250.460007,246.509995,249.000000,249.000000,4660600
2021-10-18,247.449997,253.600006,244.160004,252.199997,252.199997,6911100
2021-10-19,253.940002,256.970001,251.809998,254.410004,254.410004,5248600
2021-10-20,257.890015,260.380005,253.020004,255.350006,255.350006,4695100
2021-10-21,255.539993,265.649994,253.600006,265.079987,265.079987,7003100
2021-10-22,259.880005,262.000000,251.940002,253.059998,253.059998,7656200
2021-10-25,252.550003,262.410004,252.529999,262.000000,262.000000,5747700
2021-10-26,263.029999,270.160004,259.059998,263.390015,263.390015,7089500
2021-10-27,261.920013,262.309998,252.279999,253.020004,253.020004,6305700
2021-10-28,257.190002,261.609985,254.664993,261.329987,261.329987,4912900
2021-10-29,258.160004,258.750000,253.975006,254.500000,254.500000,4093800
2021-11-01,255.119995,255.539993,251.119995,255.039993,255.039993,4426600
2021-11-02,253.039993,255.223999,247.399994,249.009995,249.009995,5465900
2021-11-03,249.399994,252.820007,248.229996,252.479996,252.479996,4205600
2021-11-04,252.639999,253.320007,244.550003,247.460007,247.460007,10195300
2021-11-05,247.639999,255.949997,237.080002,237.380005,237.380005,15216100
2021-11-08,237.990005,241.419998,234.149994,236.770004,236.770004,7458700
2021-11-09,238.399994,240.899994,229.716995,230.779999,230.779999,7280600
2021-11-10,230.000000,234.690002,225.250000,227.210007,227.210007,7326800
2021-11-11,231.009995,231.220001,225.649994,226.509995,226.509995,4699500
2021-11-12,228.199997,229.759995,226.509995,227.300003,227.300003,5666300
2021-11-15,229.000000,238.600006,228.800003,233.020004,233.020004,6501800
2021-11-16,231.300003,238.899994,230.399994,238.470001,238.470001,5690800
2021-11-17,238.850006,241.500000,229.690002,231.850006,231.850006,5185100
2021-11-18,234.690002,237.820007,228.113998,230.350006,230.350006,5396100
2021-11-19,228.630005,229.990005,224.089996,225.139999,225.139999,7442300
2021-11-22,222.710007,224.570007,205.279999,211.309998,211.309998,15737600
2021-11-23,209.860001,214.699997,205.410004,210.550003,210.550003,9829700
2021-11-24,207.309998,217.089996,207.309998,215.649994,215.649994,6910300
2021-11-26,211.009995,215.649994,209.270004,212.080002,212.080002,3687200
2021-11-29,220.460007,220.600006,209.050003,212.869995,212.869995,5575400
2021-11-30,214.880005,217.750000,206.000000,208.330002,208.330002,10092500
2021-12-01,210.190002,211.610001,193.929993,194.500000,194.500000,13324300
2021-12-02,191.179993,195.520004,185.279999,192.149994,192.149994,16858600
2021-12-03,192.660004,192.889999,174.335007,181.309998,181.309998,19154600
2021-12-06,176.869995,180.169998,170.750000,179.720001,179.720001,11654100
2021-12-07,187.975006,192.889999,187.169998,189.509995,189.509995,10652900
2021-12-08,190.000000,195.279999,185.800003,194.779999,194.779999,8883700
2021-12-09,191.509995,194.529999,185.401993,186.750000,186.750000,6251300
2021-12-10,187.509995,189.869995,179.690002,181.320007,181.320007,7947800
2021-12-13,179.110001,181.100006,171.809998,175.440002,175.440002,10548000
2021-12-14,170.300003,175.899994,168.610001,170.720001,170.720001,8982800
2021-12-15,169.949997,174.960007,162.960007,173.800003,173.800003,11626500
2021-12-16,175.259995,176.910004,163.850006,165.880005,165.880005,10913700
2021-12-17,161.070007,168.869995,158.380005,167.059998,167.059998,12688300
2021-12-20,162.990005,163.567993,157.570007,158.300003,158.300003,9387800
2021-12-21,160.869995,171.889999,159.410004,170.470001,170.470001,10771000
2021-12-22,167.080002,171.835007,164.759995,167.380005,167.380005,7471000
2021-12-23,166.360001,168.800003,164.589996,167.710007,167.710007,6668600
2021-12-27,168.149994,171.399994,167.500000,168.479996,168.479996,5468500
2021-12-28,168.500000,169.240005,162.880005,163.669998,163.669998,6570500
2021-12-29,164.100006,164.899994,158.500000,161.850006,161.850006,7021900
2021-12-30,161.559998,168.625000,161.270004,165.339996,165.339996,6656700
2021-12-31,164.000000,165.330002,161.389999,161.509995,161.509995,6448500
2022-01-03,162.869995,165.199997,159.309998,164.029999,164.029999,7315700
2022-01-04,163.500000,163.889999,151.020004,156.330002,156.330002,14768500
2022-01-05,155.000000,156.449997,143.309998,143.490005,143.490005,17546200
2022-01-06,140.619995,148.360001,138.089996,144.660004,144.660004,16244200
2022-01-07,143.250000,148.520004,141.190002,141.539993,141.539993,9420600
2022-01-10,139.649994,144.619995,133.130005,144.479996,144.479996,15594400
2022-01-11,142.190002,151.500000,141.839996,148.429993,148.429993,10880700
2022-01-12,150.699997,152.699997,145.339996,145.470001,145.470001,9341600
2022-01-13,147.470001,148.350006,136.100006,136.949997,136.949997,10133100
2022-01-14,135.000000,138.660004,129.307999,133.289993,133.289993,19685400
2022-01-18,130.029999,137.089996,128.229996,130.000000,130.000000,14192100
2022-01-19,129.005005,132.740005,127.250000,128.139999,128.139999,25601900
2022-01-20,128.220001,135.699997,127.080002,127.580002,127.580002,13835500
2022-01-21,125.889999,127.610001,117.809998,118.099998,118.099998,14926300
2022-01-24,113.500000,117.459999,102.000000,117.300003,117.300003,30492900
2022-01-25,114.050003,118.989998,109.559998,115.300003,115.300003,16616640
